TimeStep,Time,"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0.05,0.65,0.2,0,-0.011897,0.0018827,0,0.038308
0,0.05,0.7,0.2,0,-0.012499,0.0016365,0,0.045268
0,0.05,0.75,0.2,0,-0.013014,0.0013801,0,0.052594
0,0.05,0.8,0.2,0,-0.013441,0.0011153,0,0.06023
0,0.05,0.85,0.2,0,-0.013775,0.00084381,0,0.068116
0,0.05,0.9,0.2,0,-0.014016,0.00056721,0,0.076194
0,0.05,0.95,0.2,0,-0.014162,0.00028719,0,0.084401
0,0.05,1,0.2,0,-0.014212,5.3803e-06,0,0.092675
0,0.05,1.05,0.2,0,-0.014165,-0.00027657,0,0.10095
0,0.05,1.1,0.2,0,-0.014023,-0.00055703,0,0.10917
0,0.05,1.15,0.2,0,-0.013785,-0.00083435,0,0.11727
0,0.05,1.2,0.2,0,-0.013453,-0.0011068,0,0.12518
0,0.05,1.25,0.2,0,-0.013029,-0.0013728,0,0.13285
0,0.05,1.3,0.2,0,-0.012516,-0.0016306,0,0.14022
0,0.05,1.35,0.2,0,-0.011915,-0.0018784,0,0.14722
0,0.05,1.4,0.2,0,-0.011232,-0.0021146,0,0.1538
0,0.05,1.45,0.2,0,-0.01047,-0.0023373,0,0.15992
0,0.05,1.5,0.2,0,-0.0096337,-0.0025449,0,0.16552
0,0.05,1.55,0.2,0,-0.008729,-0.0027357,0,0.17056
0,0.05,1.6,0.2,0,-0.0077618,-0.0029079,0,0.17499
0,0.05,1.65,0.2,0,-0.0067387,-0.0030591,0,0.17878
0,0.05,1.7,0.2,0,-0.0056677,-0.0031848,0,0.1819
0,0.05,1.75,0.2,0,-0.0045588,-0.0032728,0,0.18432
0,0.05,1.8,0.2,0,-0.0034272,-0.00329,0,0.18603
0,0.05,1.85,0.2,0,-0.0022991,-0.0031552,0,0.18702
0,0.05,1.9,0.2,0,-0.0012405,-0.0027071,0,0.18727
0,0.05,1.95,0.2,0,-0.00044308,-0.0017125,0,0.18657
0,0.05,2,0.2,0,0,0,0,0.18595
0,0.05,0,0.25,0,0,0,0,-0.0016365
0,0.05,0.05,0.25,0,-0.00045951,0.0023459,0,-0.0022947
0,0.05,0.1,0.25,0,-0.0012902,0.0036704,0,-0.0030463
0,0.05,0.15,0.25,0,-0.002393,0.0042583,0,-0.0028246
0,0.05,0.2,0.25,0,-0.0035665,0.0044325,0,-0.0018363
0,0.05,0.25,0.25,0,-0.0047421,0.0044075,0,-0.00012644
0,0.05,0.3,0.25,0,-0.0058935,0.0042894,0,0.0023058
0,0.05,0.35,0.25,0,-0.0070051,0.0041213,0,0.005444
0,0.05,0.4,0.25,0,-0.0080668,0.003919,0,0.0092622
0,0.05,0.45,0.25,0,-0.0090707,0.0036886,0,0.013729
0,0.05,0.5,0.25,0,-0.01001,0.003433,0,0.01881
0,0.05,0.55,0.25,0,-0.010878,0.0031548,0,0.024463
0,0.05,0.6,0.25,0,-0.011669,0.0028562,0,0.030644
0,0.05,0.65,0.25,0,-0.01238,0.0025396,0,0.037304
0,0.05,0.7,0.25,0,-0.013004,0.0022071,0,0.044392
0,0.05,0.75,0.25,0,-0.013538,0.0018611,0,0.051851
0,0.05,0.8,0.25,0,-0.01398,0.0015038,0,0.059626
0,0.05,0.85,0.25,0,-0.014327,0.0011376,0,0.067656
0,0.05,0.9,0.25,0,-0.014577,0.00076458,0,0.07588
0,0.05,0.95,0.25,0,-0.014728,0.00038702,0,0.084236
0,0.05,1,0.25,0,-0.01478,7.0865e-06,0,0.09266
0,0.05,1.05,0.25,0,-0.014732,-0.00037304,0,0.10109
0,0.05,1.1,0.25,0,-0.014584,-0.00075117,0,0.10946
0,0.05,1.15,0.25,0,-0.014338,-0.0011251,0,0.1177
0,0.05,1.2,0.25,0,-0.013994,-0.0014926,0,0.12576
0,0.05,1.25,0.25,0,-0.013554,-0.0018515,0,0.13357
0,0.05,1.3,0.25,0,-0.013022,-0.0021993,0,0.14107
0,0.05,1.35,0.25,0,-0.012399,-0.0025339,0,0.1482
0,0.05,1.4,0.25,0,-0.011691,-0.0028528,0,0.15491
0,0.05,1.45,0.25,0,-0.010899,-0.0031538,0,0.16115
0,0.05,1.5,0.25,0,-0.010031,-0.0034344,0,0.16685
0,0.05,1.55,0.25,0,-0.0090915,-0.0036923,0,0.17198
0,0.05,1.6,0.25,0,-0.0080864,-0.0039251,0,0.1765
0,0.05,1.65,0.25,0,-0.0070228,-0.0041296,0,0.18036
0,0.05,1.7,0.25,0,-0.0059088,-0.0042996,0,0.18354
0,0.05,1.75,0.25,0,-0.0047546,-0.0044192,0,0.18601
0,0.05,1.8,0.25,0,-0.003576,-0.0044451,0,0.18775
0,0.05,1.85,0.25,0,-0.0023994,-0.0042707,0,0.18875
0,0.05,1.9,0.25,0,-0.0012937,-0.003681,0,0.18899
0,0.05,1.95,0.25,0,-0.00046083,-0.0023525,0,0.18824
0,0.05,2,0.25,0,0,0,0,0.18758
0,0.05,0,0.3,0,0,0,0,-0.0040271
0,0.05,0.05,0.3,0,-0.00047436,0.0030068,0,-0.0047156
0,0.05,0.1,0.3,0,-0.0013352,0.0046782,0,-0.0055072
0,0.05,0.15,0.3,0,-0.0024789,0.0054122,0,-0.005291
0,0.05,0.2,0.3,0,-0.0036955,0.0056265,0,-0.004283
0,0.05,0.25,0.3,0,-0.0049135,0.0055918,0,-0.0025313
0,0.05,0.3,0.3,0,-0.0061056,0.0054405,0,-3.6323e-05
0,0.05,0.35,0.3,0,-0.0072559,0.0052264,0,0.003184
0,0.05,0.4,0.3,0,-0.008354,0.0049691,0,0.0071025
0,0.05,0.45,0.3,0,-0.0093916,0.004676,0,0.011687
0,0.05,0.5,0.3,0,-0.010362,0.0043513,0,0.0169
0,0.05,0.55,0.3,0,-0.011258,0.0039979,0,0.022701
0,0.05,0.6,0.3,0,-0.012075,0.0036189,0,0.029042
0,0.05,0.65,0.3,0,-0.012808,0.0032171,0,0.035874
0,0.05,0.7,0.3,0,-0.013451,0.0027954,0,0.043144
0,0.05,0.75,0.3,0,-0.014002,0.0023568,0,0.050795
0,0.05,0.8,0.3,0,-0.014458,0.0019042,0,0.058768
0,0.05,0.85,0.3,0,-0.014815,0.0014403,0,0.067002
0,0.05,0.9,0.3,0,-0.015072,0.00096795,0,0.075435
0,0.05,0.95,0.3,0,-0.015228,0.00048993,0,0.084002
0,0.05,1,0.3,0,-0.015281,8.96e-06,0,0.09264
0,0.05,1.05,0.3,0,-0.015232,-0.00047226,0,0.10128
0,0.05,1.1,0.3,0,-0.01508,-0.00095099,0,0.10986
0,0.05,1.15,0.3,0,-0.014826,-0.0014245,0,0.11832
0,0.05,1.2,0.3,0,-0.014472,-0.00189,0,0.12659
0,0.05,1.25,0.3,0,-0.01402,-0.0023447,0,0.1346
0,0.05,1.3,0.3,0,-0.013471,-0.0027856,0,0.14229
0,0.05,1.35,0.3,0,-0.01283,-0.0032099,0,0.14961
0,0.05,1.4,0.3,0,-0.012099,-0.0036146,0,0.1565
0,0.05,1.45,0.3,0,-0.011282,-0.0039966,0,0.16289
0,0.05,1.5,0.3,0,-0.010386,-0.004353,0,0.16875
0,0.05,1.55,0.3,0,-0.0094149,-0.0046808,0,0.17402
0,0.05,1.6,0.3,0,-0.0083758,-0.0049768,0,0.17866
0,0.05,1.65,0.3,0,-0.0072757,-0.0052368,0,0.18263
0,0.05,1.7,0.3,0,-0.0061228,-0.0054533,0,0.18589
0,0.05,1.75,0.3,0,-0.0049276,-0.0056065,0,0.18842
0,0.05,1.8,0.3,0,-0.0037062,-0.0056423,0,0.1902
0,0.05,1.85,0.3,0,-0.0024862,-0.0054278,0,0.19123
0,0.05,1.9,0.3,0,-0.0013392,-0.0046916,0,0.19146
0,0.05,1.95,0.3,0,-0.00047585,-0.0030153,0,0.19067
0,0.05,2,0.3,0,0,0,0,0.18998
0,0.05,0,0.35,0,0,0,0,-0.0071954
0,0.05,0.05,0.35,0,-0.00049144,0.003691,0,-0.0079138
0,0.05,0.1,0.35,0,-0.0013853,0.005723,0,-0.0087435
0,0.05,0.15,0.35,0,-0.0025738,0.006609,0,-0.0085275
0,0.05,0.2,0.35,0,-0.0038377,0.0068644,0,-0.0074902
0,0.05,0.25,0.35,0,-0.0051027,0.0068189,0,-0.0056818
0,0.05,0.3,0.35,0,-0.0063401,0.0066326,0,-0.0031036
0,0.05,0.35,0.35,0,-0.0075334,0.0063702,0,0.00022536
0,0.05,0.4,0.35,0,-0.0086717,0.0060552,0,0.0042761
0,0.05,0.45,0.35,0,-0.0097467,0.0056969,0,0.009015
0,0.05,0.5,0.35,0,-0.010751,0.0053,0,0.014403
0,0.05,0.55,0.35,0,-0.011679,0.0048685,0,0.020397
0,0.05,0.6,0.35,0,-0.012523,0.0044059,0,0.026949
0,0.05,0.65,0.35,0,-0.01328,0.0039159,0,0.034007
0,0.05,0.7,0.35,0,-0.013945,0.003402,0,0.041515
0,0.05,0.75,0.35,0,-0.014513,0.0028677,0,0.049416
0,0.05,0.8,0.35,0,-0.014983,0.0023166,0,0.057648
0,0.05,0.85,0.35,0,-0.015352,0.0017521,0,0.066149
0,0.05,0.9,0.35,0,-0.015617,0.0011774,0,0.074855
0,0.05,0.95,0.35,0,-0.015777,0.00059602,0,0.083699
0,0.05,1,0.35,0,-0.015833,1.1063e-05,0,0.092616
0,0.05,1.05,0.35,0,-0.015782,-0.00057419,0,0.10154
0,0.05,1.1,0.35,0,-0.015626,-0.0011565,0,0.1104
0,0.05,1.15,0.35,0,-0.015365,-0.0017326,0,0.11913
0,0.05,1.2,0.35,0,-0.015,-0.0022991,0,0.12766
0,0.05,1.25,0.35,0,-0.014533,-0.0028527,0,0.13594
0,0.05,1.3,0.35,0,-0.013968,-0.0033898,0,0.14389
0,0.05,1.35,0.35,0,-0.013305,-0.003907,0,0.15145
0,0.05,1.4,0.35,0,-0.01255,-0.0044006,0,0.15857
0,0.05,1.45,0.35,0,-0.011706,-0.0048668,0,0.16518
0,0.05,1.5,0.35,0,-0.010778,-0.0053022,0,0.17124
0,0.05,1.55,0.35,0,-0.0097732,-0.0057028,0,0.17669
0,0.05,1.6,0.35,0,-0.0086967,-0.0060648,0,0.18148
0,0.05,1.65,0.35,0,-0.007556,-0.0063831,0,0.18559
0,0.05,1.7,0.35,0,-0.0063598,-0.0066485,0,0.18896
0,0.05,1.75,0.35,0,-0.0051189,-0.006837,0,0.19158
0,0.05,1.8,0.35,0,-0.0038501,-0.0068838,0,0.19342
0,0.05,1.85,0.35,0,-0.0025822,-0.0066281,0,0.19448
0,0.05,1.9,0.35,0,-0.00139,-0.0057396,0,0.19471
0,0.05,1.95,0.35,0,-0.00049315,-0.0037016,0,0.19388
0,0.05,2,0.35,0,0,0,0,0.19316
0,0.05,0,0.4,0,0,0,0,-0.011161
0,0.05,0.05,0.4,0,-0.00051228,0.0044025,0,-0.011912
0,0.05,0.1,0.4,0,-0.0014452,0.0068107,0,-0.012782
0,0.05,0.15,0.4,0,-0.0026858,0.0078549,0,-0.012562
0,0.05,0.2,0.4,0,-0.0040051,0.0081529,0,-0.011485
0,0.05,0.25,0.4,0,-0.005325,0.0080956,0,-0.009604
0,0.05,0.3,0.4,0,-0.0066154,0.0078722,0,-0.0069205
0,0.05,0.35,0.4,0,-0.007859,0.0075588,0,-0.0034552
0,0.05,0.4,0.4,0,-0.0090443,0.0071831,0,0.00076131
0,0.05,0.45,0.4,0,-0.010163,0.0067561,0,0.0056934
0,0.05,0.5,0.4,0,-0.011207,0.0062837,0,0.0113
0,0.05,0.55,0.4,0,-0.01217,0.0057705,0,0.017536
0,0.05,0.6,0.4,0,-0.013047,0.0052207,0,0.02435
0,0.05,0.65,0.4,0,-0.013832,0.0046389,0,0.031688
0,0.05,0.7,0.4,0,-0.014521,0.0040292,0,0.039493
0,0.05,0.75,0.4,0,-0.01511,0.0033957,0,0.047705
0,0.05,0.8,0.4,0,-0.015596,0.0027427,0,0.056259
0,0.05,0.85,0.4,0,-0.015977,0.0020741,0,0.065091
0,0.05,0.9,0.4,0,-0.016252,0.0013938,0,0.074135
0,0.05,0.95,0.4,0,-0.016418,0.0007057,0,0.083323
0,0.05,1,0.4,0,-0.016475,1.3458e-05,0,0.092585
0,0.05,1.05,0.4,0,-0.016423,-0.00067914,0,0.10185
0,0.05,1.1,0.4,0,-0.016262,-0.0013684,0,0.11106
0,0.05,1.15,0.4,0,-0.015992,-0.0020504,0,0.12013
0,0.05,1.2,0.4,0,-0.015615,-0.0027214,0,0.129
0,0.05,1.25,0.4,0,-0.015133,-0.0033774,0,0.1376
0,0.05,1.3,0.4,0,-0.014547,-0.0040144,0,0.14587
0,0.05,1.35,0.4,0,-0.013861,-0.004628,0,0.15373
0,0.05,1.4,0.4,0,-0.013078,-0.0052142,0,0.16114
0,0.05,1.45,0.4,0,-0.012202,-0.0057684,0,0.16802
0,0.05,1.5,0.4,0,-0.011239,-0.0062863,0,0.17432
0,0.05,1.55,0.4,0,-0.010193,-0.0067633,0,0.18
0,0.05,1.6,0.4,0,-0.0090731,-0.0071947,0,0.18499
0,0.05,1.65,0.4,0,-0.0078851,-0.0075744,0,0.18927
0,0.05,1.7,0.4,0,-0.0066382,-0.0078915,0,0.19279
