% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Mar 21 2023, 01:53"
% Dimension,2
% Nodes,1923
% Expressions,3
% Description,"压力, 速度场，x 分量, 速度场，y 分量"
% Length unit,m
% x,y,p (Pa),u (m/s),v (m/s)
0.15946582403430318,0.32870845773153035,1.0502745164688478,1.0272217792162859,0.06355355526536542
0.16037898961160918,0.39696784480025754,1.030892947364116,1.0207029322803953,0.04542265901766168
0.1610328083364093,0.4646476020652411,1.0161705600377486,1.0186373917785618,0.030170398048995264
0.16129910412445944,0.5318948379363667,1.006160361917315,1.0194966967314718,0.015252695858775854
0.19340758813062467,0.8560396746089043,0.9923097135138009,1.1704130781495001,-0.1389286389762485
0.14958495537407424,0.816659085294345,1.0243909829295852,1.0903427086891806,-0.10210910336999213
0.15699851267901796,0.7364481792550586,1.0084597285250025,1.046784869445743,-0.05035986354723249
0.1612371010473596,0.5986530548069963,1.0010628807717314,1.0230886710241431,-0.0012518096817261402
0.1600118005060577,0.6648950903312058,1.001356038594708,1.0299626105049062,-0.02141395858639815
0.26571902565907735,0.8978797945185066,0.9179225707848432,1.086324876663629,-0.0965723055934059
0.24490575349433974,0.8465919885368567,0.9527262650265057,1.187985889521922,-0.11938706819416255
0.3492812621179863,0.9535307198740665,0.853603874963946,0.5681961570372794,-0.016377095934501897
0.3310091478723865,0.9273459886451602,0.8688132039948774,0.833704832579571,-0.04007738774366273
0.30683163141785424,0.8963619853969177,0.8914846938797609,1.0638345388741663,-0.07808668089289089
0.4148092785093267,0.9691106132433527,0.8181497502130285,0.367718166679144,-0.00461996854995137
0.4186046511627903,0.9823252385444567,0.8157729824200841,0.21511977673511162,-0.0016330286369069286
0.3870552575959344,0.9523038226296154,0.8331149956003676,0.5599980154493801,-0.01385643620765102
0.23666738307860358,0.13507415385797916,1.0637582767212395,1.152264266770743,0.15852565263014848
0.27931908634920705,0.11554528399291353,1.042081724244156,1.0874471565066541,0.1293664498418713
0.32069159167218303,0.09729150351137605,1.0238206116581081,0.9485209796450539,0.09191526737174059
0.3562514745668525,0.07323742926622738,1.010689145609122,0.7402671880104574,0.05363118301591523
0.4083900757475093,0.0469835280963606,0.9976466549894125,0.4550161824321921,0.02033937428681976
0.39126582949325633,0.06601835556380406,1.0043676814735378,0.6379398094218637,0.0411352496454649
0.45357017710412606,0.02823071417137536,0.9893165841055108,0.2546784808991407,0.007441679644947594
0.48236520465450494,0.017749781573385602,0.9861280459806627,0.1523709569934697,0.0027000525847179534
0.44427646415131705,0.046317556768321985,0.9924657380220822,0.41894971234266437,0.019647282629304017
0.4854656631291365,0.030898044843631917,0.9886396922730926,0.26226966425506243,0.0076084764459048715
